,asex_alt,asex_mix,omega1,omega2,rf1,rf2,sex_alt,sex_mix,theta1,theta2
58,10.0,14.0,0.55,1.0,1e-07,1e-05,10.0,18.0,10.0,9.6
59,11.0,14.0,0.55,1.0,1e-07,1e-05,11.0,18.0,12.0,9.6
60,9.0,14.0,0.7,1.0,1e-07,1e-05,9.0,18.0,4.0,9.6
61,11.0,14.0,0.7,1.0,1e-07,1e-05,11.0,19.0,6.0,9.6
62,12.0,14.0,0.7,1.0,1e-07,1e-05,12.0,19.0,8.0,9.6
63,13.0,14.0,0.7,1.0,1e-07,1e-05,13.0,19.0,10.0,9.6
64,14.0,14.0,0.7,1.0,1e-07,1e-05,14.0,19.0,12.0,9.6
65,11.0,14.0,0.85,1.0,1e-07,1e-05,11.0,20.0,4.0,9.6
66,13.0,14.0,0.85,1.0,1e-07,1e-05,13.0,20.0,6.0,9.6
67,14.0,14.0,0.85,1.0,1e-07,1e-05,14.0,20.0,8.0,9.6
68,14.0,14.0,0.85,1.0,1e-07,1e-05,14.0,20.0,10.0,9.6
69,14.0,14.0,0.85,1.0,1e-07,1e-05,14.0,21.0,12.0,9.6
70,13.0,14.0,1.0,1.0,1e-07,1e-05,13.0,21.0,4.0,9.6
71,14.0,14.0,1.0,1.0,1e-07,1e-05,14.0,23.0,6.0,9.6
72,14.0,14.0,1.0,1.0,1e-07,1e-05,14.0,24.0,8.0,9.6
73,14.0,14.0,1.0,1.0,1e-07,1e-05,14.0,26.0,10.0,9.6
74,14.0,14.0,1.0,1.0,1e-07,1e-05,14.0,26.0,12.0,9.6
75,7.0,10.0,0.4,1.0,3.162277660168379e-06,1e-05,7.0,10.0,4.0,9.6
76,8.0,11.0,0.4,1.0,3.162277660168379e-06,1e-05,8.0,11.0,6.0,9.6
77,8.0,12.0,0.4,1.0,3.162277660168379e-06,1e-05,8.0,13.0,8.0,9.6
78,8.0,12.0,0.4,1.0,3.162277660168379e-06,1e-05,8.0,13.0,10.0,9.6
79,9.0,12.0,0.4,1.0,3.162277660168379e-06,1e-05,9.0,14.0,12.0,9.6
80,8.0,12.0,0.55,1.0,3.162277660168379e-06,1e-05,8.0,14.0,4.0,9.6
81,9.0,12.0,0.55,1.0,3.162277660168379e-06,1e-05,9.0,16.0,6.0,9.6
82,10.0,12.0,0.55,1.0,3.162277660168379e-06,1e-05,10.0,16.0,8.0,9.6
83,10.0,12.0,0.55,1.0,3.162277660168379e-06,1e-05,10.0,16.0,10.0,9.6
84,11.0,12.0,0.55,1.0,3.162277660168379e-06,1e-05,11.0,16.0,12.0,9.6
85,9.0,12.0,0.7,1.0,3.162277660168379e-06,1e-05,9.0,17.0,4.0,9.6
86,11.0,12.0,0.7,1.0,3.162277660168379e-06,1e-05,11.0,17.0,6.0,9.6
87,11.0,12.0,0.7,1.0,3.162277660168379e-06,1e-05,12.0,17.0,8.0,9.6
88,12.0,12.0,0.7,1.0,3.162277660168379e-06,1e-05,12.0,17.0,10.0,9.6
89,12.0,12.0,0.7,1.0,3.162277660168379e-06,1e-05,12.0,16.0,12.0,9.6
90,11.0,12.0,0.85,1.0,3.162277660168379e-06,1e-05,11.0,18.0,4.0,9.6
91,12.0,12.0,0.85,1.0,3.162277660168379e-06,1e-05,12.0,18.0,6.0,9.6
92,12.0,12.0,0.85,1.0,3.162277660168379e-06,1e-05,12.0,18.0,8.0,9.6
93,12.0,12.0,0.85,1.0,3.162277660168379e-06,1e-05,12.0,18.0,10.0,9.6
94,12.0,12.0,0.85,1.0,3.162277660168379e-06,1e-05,12.0,18.0,12.0,9.6
95,12.0,12.0,1.0,1.0,3.162277660168379e-06,1e-05,12.0,19.0,4.0,9.6
96,12.0,12.0,1.0,1.0,3.162277660168379e-06,1e-05,12.0,20.0,6.0,9.6
97,12.0,12.0,1.0,1.0,3.162277660168379e-06,1e-05,12.0,21.0,8.0,9.6
98,12.0,12.0,1.0,1.0,3.162277660168379e-06,1e-05,12.0,22.0,10.0,9.6
99,12.0,12.0,1.0,1.0,3.162277660168379e-06,1e-05,12.0,23.0,12.0,9.6
100,7.0,9.0,0.4,1.0,0.0001,1e-05,7.0,10.0,4.0,9.6
101,8.0,10.0,0.4,1.0,0.0001,1e-05,8.0,11.0,6.0,9.6
102,8.0,10.0,0.4,1.0,0.0001,1e-05,8.0,12.0,8.0,9.6
103,8.0,10.0,0.4,1.0,0.0001,1e-05,8.0,12.0,10.0,9.6
104,8.0,10.0,0.4,1.0,0.0001,1e-05,8.0,12.0,12.0,9.6
105,8.0,11.0,0.55,1.0,0.0001,1e-05,8.0,13.0,4.0,9.6
106,9.0,11.0,0.55,1.0,0.0001,1e-05,9.0,13.0,6.0,9.6
107,9.0,11.0,0.55,1.0,0.0001,1e-05,9.0,13.0,8.0,9.6
